target,acquiror,sale_year
ALLEGIANT BANK,SOUTHSIDE BANK,2001
AMEGY BANK,ZIONS BANK,2005
AMERICAN CHARTERED BANK,MB FINANCIAL,2016
ANTIOCH HOLDING,WINTRUST FINANCIAL,2005
APEX SECURITIES,MERRILL LYNCH,2008
BANK MUTUAL,ASSOCIATED BANK GREEN BAY,2018
BANK OF AKRON,CNB FINANCIAL,2020
BANK OF LINCOLNWOOD,REPUBLIC BANK OF CHICAGO,2009
BANK OF WOODWARD,FOURTH NATIONAL BANK & TR COWICHITA,1993
BSB BANK,PARTNERS TRUST,2004
BSB BANK,PEOPLES UNITED FINANCIAL,2019
CADENCE BANK,BANKSOUTH,2021
CAROLINA SECURITIES,THOMSON MCKINNON SEC,1988
CARROLLTON BANK,JEFFERSON BANK,2013
CASCO NORTHERN BANK,BANK OF BOSTON,1984
CENTENNIAL BANK,WESTERN ALLIANCE BANK,2016
CENTRAL BANK OF DENVER,AMERITRUST,1984
CENTRAL JERSEY BANK,NATIONAL WESTMINSTER BANK,1995
CENTRAL PACIFIC BANK,WELLS FARGO,1990
CHARLES A BELL SECURITIES,CHAPMAN,1999
CHICKASHA BANK,BOE BANK,2013
COBIZ FINANCIAL,BOK FINANCIAL,2018
COMMERCIAL BANK,PROSPERITY BANK,2001
CORN BELT BANK,CARLINVILLE NATIONAL BANK,2009
CORNERSTONE BANK,REPUBLIC BANK,2016
CROSSROADS BANK,SNB BANK,1998
CSB BANK,BANCFIRST,2015
DANVILLE BANK,FULTON FINANCIAL,1990
DCB FINANCIAL,FIRST COMMONWEALTH FINANCIAL,2017
DENVER NATIONAL BANK,FULTON BANK,1993
DIME SAVINGS BANK,FIRST FIDELITY BANK,1993
DOLPHIN & BRADBURY,FIRST EASTERN,1987
DUPAGE NATIONAL BANK,REPUBLIC BANK OF CHICAGO,2014
EATON NATIONAL BANK,LCNB NATIONAL BANK,2014
EATON VANCE,MORGAN STANLEY,2021
EUROPEAN AMERICAN BANK,ABN AMRO,1991
EVAN L DAVIS,RAUSCHER PIERCE REFSNES,1993
EVENSON DODGE,PUBLIC FINANCIAL MGMT,2003
FIRST CHANDLER,BANCFIRST,2018
FIRST CHARLOTTE,CENTURY BANK,1993
FIRST EASTERN,PNC BANK,1993
FIRST GUARANTY BANK,CENTERSTATE BANK OF FLORIDA,2012
FIRST INDIANA BANK,AMERITRUST,1986
FIRST NATIONAL BANK OF HUDSON,ASSOCIATED BANK GREEN BAY,2007
FIRST NATIONAL BANK,BANCFIRST,2021
FIRST SOUTHERN BANK,CENTERSTATE BANK OF FLORIDA,2014
FLAGSHIP BANK,SECURITY BANK,2012
FLAGSHIP BANK,STONE & YOUNGBERG,2006
FLORIDA COMMUNITY BANKFL,SYNOVUS BANK,2019
FOURTH NATIONAL BANK & TR COWICHITA,BOATMENS BANK,1996
GENERATIONS BANK,WINTRUST FINANCIAL,2016
GENESIS CAPITAL MARKETS GROUP,GOLDMAN SACHS,2018
GLENVIEW STATE BANK,COLE TAYLOR BANK,1995
GREATER COLUMBIA BANK,ASSOCIATED BANK GREEN BAY,1996
GREATER HUDSON BANK,CONNECTONE BANK,2019
HARBOR NATIONAL BANK,NEW HAVEN SAVINGS BANK,1991
HELLER FINANCIAL,GENERAL ELECTRIC CAPITAL,2001
HIGHLANDS BANK,LAKELAND BANK,2019
HINSBROOK BANK,WINTRUST FINANCIAL,2006
HOUSTON COMMUNITY BANK,INDEPENDENT BANK,2014
INTEGRITY BANK,INDEPENDENT BANK,2018
JEFFERSON NATIONAL BANK,HUDSON UNITED BANK,1995
JOHN NUVEEN,US BANK,1999
KBW KEEFE BRUYETTE & WOODS,STIFEL NICOLAUS,2013
KLEIN FINANCIAL,OLD NATIONAL BANK,2018
LA PORTE BANK,HORIZON BANK,2016
LAKE FOREST BANK,WINTRUST FINANCIAL,1996
LAKELAND COMMUNITY BANK,HARRIS BANK,2004
LF ROTHSCHILD,OPPENHEIMER,1988
MAHONING NATIONAL BANK OF YOUNGSTOWN,SKY BANK,1999
MAINE NATIONAL BANK,BANK OF NEW ENGLAND,1985
MARINERS BANK,SPENCER SAVINGS BANK,2021
MB FINANCIAL,FIFTH THIRD BANK,2019
METROBANK,COMERICA,1996
METROPOLITAN BANK,UNITED JERSEY BANK,1991
METROPOLITAN BANK,WELLS FARGO,1999
MID AMERICAN NATIONAL BANK & TRUST,ASSOCIATED BANK GREEN BAY,1996
MIDLAND BANK,VALLEY NATIONAL BANK,1997
MOUNT HOLLY STATE BANK,BANK OF MID JERSEY,1994
NATIONAL BANK OF ARIZONA,ZIONS BANK,1994
NEW DARTMOUTH BANK,SHAWMUT BANK,1994
NORTH PARK NATIONAL,COMERICA BANK,1993
NORTHERN MICHIGAN BANK,FIRST BANK,2016
NORTHWEST BANK,US BANK,1998
PARK NATIONAL BANK,US BANK,2009
PARKE STATE BANK,BANCFIRST,2005
PARKWAY BANK,AMSOUTH BANK,1994
PATRIOT BANK,SUSQUEHANNA BANK,2004
PILGRIM BANK,HOMETOWN FINANCIAL GROUP,2019
POLK COUNTY BANK,GRINNELL STATE BANK,2011
RICHLAND TRUST,PARK NATIONAL BANK,1987
SALISBURY BANK,NBT BANK,2023
SBC FINANCIAL,ONEIDA FINANCIAL,2002
SOUTHERN HERITAGE BANK,FIRST CITIZENS BANK,2014
SOVEREIGN SECURITIES,SANTANDER BANK,2009
SPRINGFIELD BANK,QCR HOLDINGS,2018
STANDARD BANK,FOURTH NATIONAL BANK & TR COWICHITA,1995
STATE BANK OF RIVERDALE,GENEVA STATE BANK,2013
