target,acquiror,sale_year
AG BECKER,MERRILL LYNCH,1984
A H WILLIAMS,COMMERCE BANK NEW JERSEY,1998
ADAMS MCENTEE,FLEET BANK,1988
ADVEST,MERRILL LYNCH,2005
A G EDWARDS & SONS,WACHOVIA BANK,2007
ALEX BROWN & SONS,BT ALEX BROWN,1997
ALLFIRST BANK,M&T SECURITIES,2003
AMERICAN FLETCHER NATIONAL BANK & TR,BANC ONE,1987
AMERICAN NTNL BANK & TR,FIRST CHICAGO BANK,1984
AMSOUTH BANK,REGIONS BANK,2006
ANDERSON & STRUDWICK,STERNE AGEE & LEACH,2011
ARTHURS LESTRANGE,FERRIS BAKER WATTS,2006
BACHE HALSEY STUART SHIELDS IN,PRUDENTIAL SECURITIES,1981
BAKER WATTS,FERRIS BAKER WATTS,1988
BANC ONE,JP MORGAN,2004
BANK CALUMET,FIRST MIDWEST BANK,2006
BANK IV FINANCIAL SERVICES,BOATMENS BANK,1995
BANK OF BOSTON,BANKBOSTON,1996
BANK OF CASTILE,TOMPKINS FINANCIAL,2000
BANK OF LONG ISLAND,NORSTAR BANK,1984
BANK SOUTH,NATIONSBANK,1995
BANKBOSTON,FLEET BANK,1999
BANKERS TRUST OF SO CAROLINA,NCNB NATIONAL BANK OF NORTH CAROLINA,1985
BANKERS TRUST,BT ALEX BROWN,1997
BARRE,SOUTHWEST SECURITIES,1995
BATEMAN EICHLER HILL RICHARD,KEMPER SECURITIES,1982
BAYBANK,BANKBOSTON,1996
BB&T,TRUIST FINANCIAL,2019
BEAR STEARNS,JP MORGAN,2008
BOATMENS BANK,NATIONSBANK,1996
BOETTCHER,KEMPER SECURITIES,1985
BRANDIS TALLMAN,OPPENHEIMER,2020
BT ALEX BROWN,DEUTSCHE BANK,1999
BURROWS SMITH,PRUDENTIAL SECURITIES,1981
BUTCHER & SINGER,WHEAT FIRST BUTCHER SINGER,1988
BUTLER WICK,STIFEL NICOLAUS,2008
CITIZENS & SOUTHERN NATIONAL BANK,NATIONSBANK,1991
C C COLLINGS,LEGG MASON,1984
CAIN BROTHERS,KEY BANK,2017
CAPE COD BANK,TD BANK,2004
CARLETON D BEH,E F HUTTON,1981
CAROLINA FIRST BANK,TD BANK,2010
CENTENNIAL BANK,UMPQUA BANK,2002
CENTERRE BANK,BOATMENS BANK,1988
CENTRAL FIDELITY BANK,WACHOVIA BANK,2001
CENTURY BANK,EASTERN BANK,2021
CHEMICAL BANK,CHASE BANK,1996
CHILES HEIDER,SHEARSONAMERICAN EXPRESS,1983
CITIZENS & SOUTHERN NATIONAL BANK,NATIONSBANK,1991
CITIZENS FIRST NATIONAL BANK,NATWEST BANK,1994	
CITY SECURITIES,STIFEL NICOLAUS,2016
CLAYTON BROWN & ASSOCIATES,DAIN BOSWORTH,1994
COASTAL SECURITIES,FIRST HORIZON BANK,2016
COMMERCE BANK NEW JERSEY,TD BANK,2007
COMMUNITY NATIONAL BANK,BRIDGEHAMPTON NATIONAL BANK,2015
CONTINENTAL ILLINOIS NATIONAL BANK,BANK OF AMERICA,1994
CORESTATES BANK,FIRST UNION NATIONAL BANK,1998
CRAIGIE,BB&T,1997
CRANSTON SECURITIES,KEMPER SECURITIES,1987
CROCKER NATIONAL BANK,MIDLAND BANK,1981
CROCKER NATIONAL BANK,WELLS FARGO,1986
CRONIN,DOUGHERTY,2016
CROWELL WEEDON,D A DAVIDSON,2013
CULLEN CENTER BANK,FROST BANK,1993
CUMBERLAND SECURITIES,MORGAN KEEGAN,1992
DAIN BOSWORTH,RBC BANK,2000
DEAN WITTER REYNOLDS,MORGAN STANLEY,1997
DEPFA FIRST ALBANY SEC,JEFFERIES,2009
DILLON READ,UBS FINANCIAL SERVICES,1998
DONALDSON LUFKIN & JENRETTE,CREDIT SUISSE FIRST BOSTON,2000
DOUGHERTY,COLLIERS SECURITIES,2019
DREYFUS,JP MORGAN,2002
DREYFUS,MELLON BANK,1994
DUNCAN WILLIAMS,SOUTH STATE,2020
E F HUTTON,LEHMAN BROTHERS,1987
EPPLER GUERIN & TURNER,PRINCIPAL FINANCIAL SEC,1986
EQUITABLE SECURITIES,SUNTRUST BANK,2000
EUROPEAN AMERICAN BANK,CITIGROUP,2001
FARMERS SAVINGS BANKPACKWOODIA,SECURITY STATE BANK,2021
FBS FINANCIAL,US BANK,1997
FERRIS BAKER WATTS,RBC BANK,2008
FERRIS,FERRIS BAKER WATTS,1988
FIRST ALBANY CAPITAL,DEPFA FIRST ALBANY SEC,2007
FIRST BANK,US BANK,1997
FIRST BIRMINGHAM SEC,STERNE AGEE & LEACH,1990
FIRST CALIFORNIA CAPITAL MKTS,PACIFIC WESTERN BKLOS ANGELES,2012
FIRST CHARLOTTE,J C BRADFORD,1991
FIRST CHICAGO BANK,BANC ONE,1998
FIRST COMMERCE CAPITAL,BANC ONE,1997
FIRST INTERSTATE BANK,WELLS FARGO,1996
FIRST MERIT BANK,HUNTINGTON NATIONAL BANK,2016
FIRST MID AMERICA,PAINE WEBBER,1983
FIRST NATIONAL BANK OF ATLANTA,WACHOVIA BANK,1986
FIRST NATIONAL BANK OF HIGHLAND,M&T SECURITIES,1992
FIRST NATIONAL BANK OF LAFAYETTE,BANC ONE,1998
FIRST NATIONAL BANK OF MINNEAPOLIS,US BANK,1997
FIRST NATIONAL BANK VALPARAISOIN,1ST SOURCE BANK,2007
FIRST NIAGARA BANK,KEY BANK,2016
FIRST OF AMERICA BANK,NATIONAL CITY BANK,1997
FIRST SECURITY,WELLS FARGO,2000
FIRST UNION NATIONAL BANK,WACHOVIA BANK,2001
FIRSTAR BANK,US BANK,2000
FIRSTIER BANK,FIRST BANK,1996
FIRSTSOUTHWEST,HILLTOP SECURITIES,2012
FLEET BANK,BANK OF AMERICA,2004
FMB FIRST MICHIGAN BANK,HUNTINGTON NATIONAL BANK,1997
FORT WORTH NATIONAL BANK,SOUTHSIDE BANK,2007
FOSTER & MARSHALL,SHEARSONAMERICAN EXPRESS,1982
FRIEDMAN LUZZATTO,HILLTOP SECURITIES,2003
GAINER BANK,NATIONAL BANK OF DETROIT,1991
GRADISON,MCDONALD,1991
GRIGSBY BRANDFORD,SIEBERT CISNEROS SHANK,1996
GRUNTAL,RYAN BECK,2002
HAMILTON BANK,CORESTATES BANK,1982
HANIFEN IMHOFF,STIFEL NICOLAUS,2000
HARRIS BANK,BMO BANK,1984
HIBERNIA NATIONAL BANK,CAPITAL ONE FINANCIAL,2005
HILL CRAWFORD & LANFORD,STERNE AGEE & LEACH,1995
HOPPER SOLIDAY,TUCKER ANTHONY SUTRO,1998
HORNER BARKSDALE,SCOTT & STRINGFELLOW,1984
HOWARD WEIL LABOUISSE FRIEDRIC,LEGG MASON,1987
HUTCHINSON SHOCKEY ERLEY,HUNTINGTON BANK,2018
IBERIA BANK,FIRST HORIZON BANK,2019
INB NATIONAL BANK,NATIONAL BANK OF DETROIT,1992
INTERSTATE SECURITIES,INTERSTATEJOHNSON LANE,1988
INTERSTATEJOHNSON LANE,WACHOVIA BANK,1999
IRVING TRUST,BANK OF NEW YORK MELLON,1988
J C BRADFORD,UBS FINANCIAL SERVICES,2000
J LEE PEELER,MORGAN KEEGAN,1994
JACKSON SECURITIES,M R BEAL,2012
JJB HILLIARD WL LYONS,ROBERT W BAIRD,2019
JOHN G KINNARD,MILLER JOHNSON STEICHEN KINNAR,2000
JOHNSONLANESPACESMITH,INTERSTATEJOHNSON LANE,1988
JURAN & MOODY,MILLER JOHNSON & KUEHN,1997
KEMPER SECURITIES,FIRST UNION NATIONAL BANK,1999
KIDDER PEABODY,PAINE WEBBER,1995
KIRKPATRICK PETTIS,D A DAVIDSON,2005
KNOX WALL,MORGAN KEEGAN,1997
LANCASTER POLLARD,ORIX BANK,2017
LASALLE NATIONAL BANK,BANK OF AMERICA,2007
LAWSON FINANCIAL,LIBERTY BANK,2018
LEO OPPENHEIM,BOK FINANCIAL,1998
LJ HART,COMMERCE BANK OF KANSAS CITY,2023
LONG ISLAND TRUST,BANK OF NEW YORK MELLON,1987
LOVETT MITCHELL WEBB,KEMPER SECURITIES,1990
M & I BANK,BMO BANK,2010
M L STERN INVESTMENTS SEC,SOUTHWEST SECURITIES,2008
M R BEAL,BLAYLOCK VAN,2014
MANUFACTURERS HANOVER TRUST,CHEMICAL BANK,1992
MANUFACTURERS NATIONAL BANK DETROIT,COMERICA BANK,1992
MARINE MIDLAND BANK,HSBC,1980
MASTERSON MORELAND SAUER,SOUTHWEST SECURITIES,1996
MBNA AMERICAN BANK,BANK OF AMERICA,2006
MCDONALD,KEY BANK,1998
MCDONALD,UBS FINANCIAL SERVICES,2007
MCLINEY,SAMCO CAPITAL MARKETS,2019
MELLON BANK,BANK OF NEW YORK MELLON,2006
MERCANTILE BANK OF ST LOUIS,FIRSTAR BANK,1999
MERCANTILE NATIONAL BANK OF DALLAS,BANC ONE,1989
MERCHANT CAPITAL,STERNE AGEE & LEACH,2014
MERCHANTS NATIONAL BANK,NATIONAL CITY BANK,1992
MERIDIAN BANK,CORESTATES BANK,1995
MERRILL LYNCH,BANK OF AMERICA,2008
MEUSE RINKER & CHAPMAN,BANC ONE,1989
MICHIGAN NATIONAL BANK,ABN AMRO,2000
MIDLANTIC BANK,PNC BANK,1995
MIDWEST CAPITAL MANAGEMENT,GOLD BANK,1997
MILLER JOHNSON & KUEHN,MILLER JOHNSON STEICHEN KINNAR,2000
MOORE JURAN,JOHN G KINNARD,1993
MORGAN KEEGAN,RAYMOND JAMES,2012
MORGAN KEEGAN,REGIONS BANK,2001
MORGANOLMSTEADKENNEDY&GARDNE,WEDBUSH SECURITIES,1988
MUFG UNION BANK,US BANK,2022
NASSAU TRUST,NORSTAR BANK,1983
NATIONAL BANK OF DETROIT,FIRST CHICAGO BANK,1995
NATIONAL CITY BANK,PNC BANK,2008
NATIONSBANK,BANK OF AMERICA,1998
